id,name,party,partyLabel,votes,election,electionLabel,ranking
Q7150914,Paul Givan,Q215519,Democratic Unionist Party,8035,Q28231972,2017 Assembly election,1
Q24083709,Robbie Butler,Q841045,Ulster Unionist Party,11037.42,Q28231972,2017 Assembly election,2
Q7839296,Trevor Lunn,Q244927,Alliance Party of Northern Ireland,7656.86,Q28231972,2017 Assembly election,3
Q5346750,Edwin Poots,Q215519,Democratic Unionist Party,7401.82,Q28231972,2017 Assembly election,4
Q28868438,Pat Catney,Q175443,Social Democratic and Labour Party,6848.92,Q28231972,2017 Assembly election,5
Q4960688,Brenda Hale,Q215519,Democratic Unionist Party,6415.70,Q28231972,2017 Assembly election,6
Q24083766,Jennifer Palmer,Q841045,Ulster Unionist Party,5094.72,Q28231972,2017 Assembly election,7
,Peter Doran,Q76382,Sinn Féin,1877.12,Q28231972,2017 Assembly election,8
,Samuel Morrison,Q985076,Traditional Unionist Voice,1448,Q28231972,2017 Assembly election,9
,Dan Barrios-O'Neill,Q1096979,Green Party of Northern Ireland,1217.36,Q28231972,2017 Assembly election,10
,Jonny Orr,Q327591,Independent (politician),909.72,Q28231972,2017 Assembly election,11
,Matthew Robinson,Q7058484,Northern Ireland Conservatives,183,Q28231972,2017 Assembly election,12
,Keith Gray,Q327591,Independent (politician),76,Q28231972,2017 Assembly election,13
Q7150914,Paul Givan,Q215519,Democratic Unionist Party,5635,Q16973450,2016 Assembly election,1
Q7839296,Trevor Lunn,Q244927,Alliance Party of Northern Ireland,6886,Q16973450,2016 Assembly election,2
Q24083709,Robbie Butler,Q841045,Ulster Unionist Party,5291,Q16973450,2016 Assembly election,3
Q24083766,Jennifer Palmer,Q841045,Ulster Unionist Party,5212,Q16973450,2016 Assembly election,4
Q5346750,Edwin Poots,Q215519,Democratic Unionist Party,5064,Q16973450,2016 Assembly election,5
Q4960688,Brenda Hale,Q215519,Democratic Unionist Party,4577,Q16973450,2016 Assembly election,6
Q6272833,Jonathan Craig,Q215519,Democratic Unionist Party,4409,Q16973450,2016 Assembly election,7
,Pat Catney,Q175443,Social Democratic and Labour Party,4012,Q16973450,2016 Assembly election,8
,Dan Barrios-O'Neill,Q1096979,Green Party of Northern Ireland,1661,Q16973450,2016 Assembly election,9
,Lyle Rea,Q985076,Traditional Unionist Voice,1518,Q16973450,2016 Assembly election,10
,Jacqui McGeough,Q76382,Sinn Féin,1082,Q16973450,2016 Assembly election,11
,Jonny Orr,Q327591,Independent (politician),857,Q16973450,2016 Assembly election,12
,Brian Higginson,Q10647,UK Independence Party,768,Q16973450,2016 Assembly election,13
,Jack Irwin,Q7058484,Northern Ireland Conservatives,341,Q16973450,2016 Assembly election,14
,Peter Dynes,Q20642359,Northern Ireland Labour Representation Committee,171,Q16973450,2016 Assembly election,15
,Frazer McCammond,,,124,Q16973450,2016 Assembly election,16
Q5346750,Edwin Poots,Q215519,Democratic Unionist Party,7329,Q7058474,2011 Assembly election,1
Q4867218,Basil McCrea,Q841045,Ulster Unionist Party,5771,Q7058474,2011 Assembly election,2
